timestamp,cpu_load,memory_usage,disk_io,network_io,prediction
2025-10-22 06:39:02.715074,42.31,39.36,208.53,111.94,52.412283632634825
2025-10-22 06:39:03.715073,92.43,47.39,119.99,30.68,52.26571662158182
2025-10-22 06:39:04.715073,89.95,68.71,89.88,60.19,50.53119525476843
2025-10-22 06:39:05.715072,87.11,26.48,67.23,137.25,50.73419575956337
2025-10-22 06:39:06.715072,85.59,49.28,281.31,120.4,52.79508797618561
2025-10-22 06:39:07.715072,56.02,40.16,112.53,97.51,51.389993781978966
2025-10-22 06:39:08.715071,48.29,59.54,87.61,15.76,51.59522180051339
2025-10-22 06:39:09.715071,93.88,80.41,234.15,66.54,51.78503642104997
2025-10-22 06:39:10.715070,23.9,92.01,177.0,50.49,50.84001197484874
2025-10-22 06:39:11.715070,41.4,98.09,114.39,140.61,48.34017287605744
2025-10-22 06:39:12.715069,60.39,65.82,220.01,145.92,50.924102196639446
2025-10-22 06:39:13.715069,83.29,70.57,99.24,79.28,50.26616404406172
2025-10-22 06:39:14.715069,65.42,96.64,225.54,137.13,49.870808699990356
2025-10-22 06:39:15.715068,75.73,80.92,82.4,125.45,48.882352957685605
2025-10-22 06:39:16.715068,53.33,20.55,269.88,144.0,53.448653785561326
2025-10-22 06:39:17.715067,21.62,42.97,216.44,148.08,51.78201594988177
2025-10-22 06:39:18.715067,29.48,57.14,201.91,57.29,52.479195292995314
2025-10-22 06:39:19.715066,41.56,86.04,229.82,31.92,52.05698753549243
2025-10-22 06:39:20.715066,13.36,78.77,124.8,149.33,49.12534344647096
2025-10-22 06:39:21.715066,15.67,65.04,54.45,20.93,50.86389387131162
2025-10-22 06:39:22.715065,81.7,64.34,202.31,22.83,52.744319286721385
2025-10-22 06:39:23.715065,31.3,32.37,115.7,89.09,51.88596551549956
2025-10-22 06:39:24.715064,34.05,84.88,160.79,139.95,49.483891987550024
2025-10-22 06:39:25.715064,85.56,49.83,183.93,120.48,51.5315266399733
2025-10-22 06:39:26.715063,75.71,89.29,262.87,65.27,51.806531613855356
2025-10-22 06:39:27.715063,43.56,21.48,129.64,17.59,53.66346653457014
2025-10-22 06:39:28.715063,78.69,42.12,250.15,45.85,53.89447792847812
2025-10-22 06:39:29.715062,18.82,38.37,165.14,44.76,52.98381005852121
2025-10-22 06:39:30.715062,57.8,51.77,121.29,13.38,52.38138505195416
2025-10-22 06:39:31.715061,90.24,44.64,206.76,21.68,53.62836874712489
2025-10-22 06:39:32.715061,10.61,33.02,59.85,47.18,51.82406557400185
2025-10-22 06:39:33.715060,83.17,45.68,195.28,106.6,52.070220124070865
2025-10-22 06:39:34.715060,78.3,24.1,196.85,136.83,52.488805831940816
2025-10-22 06:39:35.715060,89.24,33.05,200.4,68.37,53.27041491148665
2025-10-22 06:39:36.715059,77.88,82.71,174.13,77.92,50.74302306735003
2025-10-22 06:39:37.715059,45.58,34.78,296.94,92.5,54.03929200082354
2025-10-22 06:39:38.715058,47.31,64.74,252.76,57.04,52.818522849408545
2025-10-22 06:39:39.715058,36.63,54.94,170.54,52.72,52.243860317907334
2025-10-22 06:39:40.715058,25.47,97.73,232.61,119.82,50.195175963075606
2025-10-22 06:39:41.715057,18.0,30.41,104.66,147.73,50.880349161298554
2025-10-22 06:39:42.715057,80.96,38.22,140.28,38.56,52.773463025175445
2025-10-22 06:39:43.715056,18.64,82.24,55.09,41.28,49.8376963539313
2025-10-22 06:39:44.715056,93.15,80.22,271.35,83.72,51.989388614486465
2025-10-22 06:39:45.715055,24.42,96.9,136.42,123.89,48.939087584204955
2025-10-22 06:39:46.715055,17.68,67.77,143.22,134.28,50.05415872913029
2025-10-22 06:39:47.715055,33.81,98.88,142.57,14.48,50.70027766696904
2025-10-22 06:39:48.715054,23.86,46.68,104.51,27.29,52.152463690945766
2025-10-22 06:39:49.715054,34.31,86.12,178.05,48.7,51.124077536036744
2025-10-22 06:39:50.715053,23.25,94.7,136.76,144.53,48.70093294758578
2025-10-22 06:39:51.715053,18.17,70.45,204.65,114.85,51.039452972511015
2025-10-22 06:39:52.715052,79.78,77.21,158.44,117.18,50.136052940302676
2025-10-22 06:39:53.715052,79.67,97.34,189.05,87.91,50.17118784998909
2025-10-22 06:39:54.715052,72.37,57.43,123.88,84.46,51.03582718007324
2025-10-22 06:39:55.715051,66.69,79.98,269.41,29.45,52.84962851179163
2025-10-22 06:39:56.715051,78.97,68.86,152.99,78.95,51.02595600497876
2025-10-22 06:39:57.715050,68.42,81.26,201.71,83.99,51.05578693321936
2025-10-22 06:39:58.715050,76.63,75.56,227.41,31.7,52.46014945308925
2025-10-22 06:39:59.715049,66.36,68.83,219.12,120.57,51.19794451308579
2025-10-22 06:40:00.715049,36.65,76.22,237.01,29.15,52.59638061137331
2025-10-22 06:40:01.715049,30.54,32.19,289.47,13.99,55.3164811624132
2025-10-22 06:40:02.715046,75.38,24.41,118.47,123.77,51.68885415118344
2025-10-22 06:40:03.715046,51.11,63.37,77.99,98.73,49.97764109086059
2025-10-22 06:40:04.715046,92.26,23.57,239.71,55.47,54.36809174326652
2025-10-22 06:40:05.715045,88.27,48.98,289.71,148.32,52.46414192685004
2025-10-22 06:40:06.715045,73.17,82.38,235.42,33.34,52.255655703111046
2025-10-22 06:40:07.715044,94.43,39.85,225.98,55.2,53.52922150458109
2025-10-22 06:40:08.715044,30.95,41.72,182.69,121.87,51.82631348694405
2025-10-22 06:40:09.715044,64.4,98.77,62.11,27.92,49.46378904231607
2025-10-22 06:40:10.715043,30.16,25.46,252.49,109.53,53.581489055764735
2025-10-22 06:40:11.715043,28.48,63.44,105.28,59.27,50.95845767219137
2025-10-22 06:40:12.715042,49.9,68.52,144.22,139.97,49.94434609830743
2025-10-22 06:40:13.715042,24.37,40.03,237.95,100.41,52.94522033289037
2025-10-22 06:40:14.715041,74.74,56.48,90.88,93.23,50.5133159106499
2025-10-22 06:40:15.715041,33.87,27.39,181.31,122.82,52.381797815717256
2025-10-22 06:40:16.715041,16.02,66.29,258.26,142.78,51.44237479296144
2025-10-22 06:40:17.715040,46.91,76.86,56.1,132.93,48.59362876609415
2025-10-22 06:40:18.715040,79.16,94.41,95.99,65.0,49.47621102161606
2025-10-22 06:40:19.715039,62.77,26.76,92.73,99.0,51.664091770260924
2025-10-22 06:40:20.715039,81.32,42.25,170.45,92.08,52.129084228185704
2025-10-22 06:40:21.715038,73.32,43.11,73.74,110.89,50.55931005585818
2025-10-22 06:40:22.715038,34.81,29.05,261.09,106.92,53.58565536724293
2025-10-22 06:40:23.715038,79.64,41.15,214.4,75.5,53.00109719674642
2025-10-22 06:40:24.715037,15.57,66.78,185.56,14.59,52.563768291961054
2025-10-22 06:40:25.715037,12.47,48.12,73.05,114.22,50.29112716927176
2025-10-22 06:40:26.715036,88.44,76.84,70.82,70.56,49.787534070977976
2025-10-22 06:40:27.715036,74.94,24.16,136.41,68.82,52.8135502862516
2025-10-22 06:40:28.715035,83.33,31.67,187.87,111.09,52.47872006054993
2025-10-22 06:40:29.715035,11.94,66.82,234.89,138.11,51.198405543111264
2025-10-22 06:40:30.715034,43.15,48.78,73.53,96.66,50.553287291088296
2025-10-22 06:40:31.715034,21.59,93.22,264.05,30.36,52.223103260667834
2025-10-22 06:40:32.715034,41.51,44.06,56.27,33.94,51.53869285350291
2025-10-22 06:40:33.715033,31.3,69.52,276.73,34.83,53.28553847945389
2025-10-22 06:40:34.715033,87.17,33.7,288.88,46.32,54.72566282391272
2025-10-22 06:40:35.715032,87.9,22.34,295.61,95.02,54.49249632431082
2025-10-22 06:40:36.715032,63.93,28.15,139.41,116.2,51.92393323642567
2025-10-22 06:40:37.715032,66.95,80.99,84.8,36.51,50.34415512339407
2025-10-22 06:40:38.715031,40.36,65.97,259.61,118.81,51.85920666256337
2025-10-22 06:40:39.715031,46.67,41.6,296.12,16.93,54.96737008219075
2025-10-22 06:40:40.715030,63.31,40.37,121.06,124.0,51.06282096717312
2025-10-22 06:40:41.715030,17.97,20.12,111.7,46.74,53.02088991712694
2025-10-22 06:40:42.715029,30.25,52.49,158.71,106.82,51.32151142385477
2025-10-22 06:40:43.715029,86.19,37.8,113.37,129.17,50.987080490613195
2025-10-22 06:40:44.715029,90.52,54.64,116.4,82.39,51.08853521177626
2025-10-22 06:40:45.715028,33.26,47.81,169.22,118.94,51.45203245588668
2025-10-22 06:40:46.715028,81.03,24.72,202.68,81.15,53.435386409481495
2025-10-22 06:40:47.715027,84.41,36.13,232.04,75.05,53.43903253755082
2025-10-22 06:40:48.715027,90.36,74.21,240.99,89.49,51.756616377146024
2025-10-22 06:40:49.715026,10.76,76.43,102.81,41.32,50.68309826152852
2025-10-22 06:40:50.715026,41.48,70.93,217.95,48.77,52.2545740567158
2025-10-22 06:40:51.715026,85.41,58.96,122.96,98.07,50.74183941689236
2025-10-22 06:40:52.715025,29.12,43.32,107.22,40.71,52.10852794260004
2025-10-22 06:40:53.715025,47.54,25.02,176.3,58.14,53.4582675005312
2025-10-22 06:40:54.715024,75.67,32.28,85.96,100.38,51.32901095868662
