batch,time_sec,mse,r2
1,0.0047338008880615234,597.538436786753,0.00022136321574739437
2,0.007697105407714844,604.4837795755508,0.00020813523226981268
3,0.004400014877319336,594.0248635005568,0.0001609290210677905
4,0.0258331298828125,603.2596539512739,0.0001607202461935131
5,0.006916046142578125,604.5042823214392,0.00010426455627321474
6,0.004747152328491211,600.516309652896,0.00019174499693974667
7,0.008466005325317383,597.6556806991491,0.000219628042070652
8,0.011560201644897461,590.374272244957,0.0006997359851746987
9,0.01002812385559082,614.385381762929,0.00019647873879102828
10,0.008426904678344727,597.9285050939023,0.00029382130346289337
11,0.0019130706787109375,600.2450974127373,0.00017400276458912067
12,0.009173870086669922,609.4384354343262,0.00010345084236818014
13,0.003552675247192383,597.6413742564907,0.0004283071394199922
14,0.008018970489501953,605.5927427301997,0.0001784662358831346
15,0.0027980804443359375,601.7942880243421,5.235735894304483e-05
16,0.013750076293945312,603.8209464576926,7.344761966321389e-05
17,0.0031270980834960938,596.757518052756,0.00036918428296039973
18,0.0051610469818115234,597.1221233165849,0.0004220788152616839
19,0.0025861263275146484,601.92639428665,0.00018248890622563074
20,0.002902984619140625,604.7982333406059,0.0002021877381315207
21,0.004731893539428711,606.4391145341599,0.00022674385071208558
22,0.002151966094970703,606.7524884317169,8.675324315976507e-05
23,0.009531974792480469,600.1534603723751,0.00031401353345195115
24,0.005759000778198242,608.3389805773033,0.0002472996637248315
25,0.0053141117095947266,602.804293744223,0.00015897006565934735
26,0.0028810501098632812,593.9458005953986,0.00023201930177563224
27,0.0024640560150146484,605.2786602927589,0.00017494038925314204
28,0.00183868408203125,599.4545699078429,7.90170431334003e-05
29,0.0018918514251708984,603.743814459362,0.0004661806041080796
30,0.001857757568359375,597.3539472570793,0.0003388285427632365
31,0.0018219947814941406,605.985764626164,0.0002554984976846919
32,0.0043392181396484375,596.071927440659,5.338464381443586e-06
33,0.00284576416015625,598.3353911711313,0.0004438120103862353
34,0.002794027328491211,603.9893683993726,1.3995763297858232e-05
35,0.0018610954284667969,597.5883877225634,0.0006893394405691478
36,0.002288818359375,605.6898395182109,0.00012226669200054996
37,0.018105745315551758,600.4348839580257,0.00015974523627282355
38,0.004732847213745117,607.9619208008421,0.00033968242892157274
39,0.00609898567199707,603.7962381030981,8.929519020672849e-05
40,0.006268024444580078,597.0352313469317,0.00033914743070118103
41,0.0018417835235595703,612.3639701497061,3.16020944628459e-05
42,0.001950979232788086,597.1843430501915,0.0003228032647294432
43,0.0016369819641113281,598.3142871836953,0.000399507359477802
44,0.004135847091674805,596.7143912542382,0.0006736716600541648
45,0.002577066421508789,600.1455427864591,0.00011539245401548381
46,0.0041811466217041016,589.8497142883909,9.486016766679928e-05
47,0.004235982894897461,613.4910173709358,0.0001657215480791452
48,0.0026209354400634766,599.181932597701,0.00033654695015394864
49,0.0044100284576416016,592.1658425333305,0.00017478554284211523
50,0.004888057708740234,601.9083118298694,0.0008693577761537119
51,0.00255584716796875,603.9310102510132,7.888194939553728e-05
52,0.00477910041809082,594.8394741670769,0.00011627918086909439
53,0.001987934112548828,595.756059776126,3.594191663602864e-05
54,0.005713224411010742,605.3502516603625,0.00028430828109760053
55,0.0077669620513916016,595.4266982414583,0.0003790366923821509
56,0.0018281936645507812,600.4627575716264,4.613400139774626e-05
57,0.001827239990234375,601.1201837575524,5.201268608956422e-05
58,0.0017879009246826172,610.7474226224103,0.00023815865226561872
59,0.0024089813232421875,603.0188772763872,0.0004986544645076973
60,0.0018029212951660156,596.0802976121705,0.00053194539904311
61,0.0018928050994873047,596.6480639827715,0.00019837114698106895
62,0.001756906509399414,604.0939909822592,0.00025720739717116636
63,0.004551887512207031,602.8782861924619,0.0001618794307507443
64,0.0020110607147216797,606.2891691264517,0.0005045610885276997
65,0.0018377304077148438,598.6450760687958,0.0002154897140149714
66,0.0021572113037109375,597.678287257743,7.11396981957213e-05
67,0.00403904914855957,607.8297027969708,0.00044191438656804305
68,0.0017380714416503906,606.5190239042291,0.00011033124563719632
69,0.0018799304962158203,594.7690810874233,0.00033744356272336073
70,0.0021750926971435547,598.0315348836467,3.820488060668481e-05
71,0.00177001953125,596.4119360791875,8.846591630495837e-05
72,0.0044879913330078125,595.8550344349577,0.00012665880399209684
73,0.0020427703857421875,602.8122451160303,0.00012519678191957873
74,0.0018160343170166016,602.1955373585159,0.00031873426039341624
75,0.004781246185302734,603.5520127078701,0.00034061175488908635
76,0.002064943313598633,598.4541816113424,0.0007481258643859956
77,0.004122257232666016,603.7562812138206,0.00012141843537194497
